"id (S)","Reducs (L)","SignUpDate (S)"
"10e84579349ab48b","[]","2020-04-08T15:21:40.576Z"
"d53b44f8d7a4247f","[]","2020-04-09T13:03:16.062Z"
"testId","[]","2020-05-07T11:59:25.403Z"
